片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
向爱而生,,张荣生 朱瑞譞,侯勇 宋佳伦 涂磊,2019-05-15,1小时30分钟,中国,剧情,6.7
这个冬天不太冷,,张万一,李飞 刘园园 向北,2019-05-27,1小时43分钟,中国,爱情 战争,6.7
蜘蛛侠：英雄远征,,乔恩·沃茨,汤姆·赫兰德 赞达亚 玛丽莎·托梅,2019-06-28,2小时7分钟,美国,动作 冒险 科幻,8.4
大河唱,,柯永权 杨植淳,苏阳 刘世凯 张进来,2019-06-18,1小时37分钟,中国,纪录 音乐,7.8
你咪理，我爱你！,,王祖蓝,王祖蓝 曾志伟 毛舜筠,2019-06-28,1小时28分钟,中国香港,爱情 歌舞,4.5
千与千寻,,宫崎骏,柊瑠美 入野自由 夏木真理,2019-06-21,2小时5分钟,日本,剧情 冒险 奇幻,8.0
星月夜,,梁善峻 罗阳,庄心妍 严丹彤 吴文超,2019-06-28,1小时33分钟,中国,喜剧,6.7
X战警：黑凤凰,,西蒙·金伯格,索菲·特纳 詹姆斯·麦卡沃伊 迈克尔·法斯宾德,2019-06-06,1小时54分钟,美国,动作 科幻 冒险,6.5
榫卯,,甘小二,马跃 徐筠 黄精一,2019-06-16,1小时41分钟,中国,剧情,5.9
妈阁是座城,,李少红,白百何 黄觉 吴刚,2019-06-14,2小时7分钟,中国,爱情 剧情,6.8
冠军的心,,刘奋斗,杨坤 夏梓桐 余皑磊,2019-06-14,1小时44分钟,中国,动作 剧情,5.9
玩具总动员4,,约翰·拉塞特 乔什·库雷,汤姆·汉克斯 蒂姆·艾伦 安妮·波茨,2019-06-21,1小时30分钟,美国,动画 奇幻 喜剧,7.5
我的青春都是你,,周彤 代梦颖,宋芸桦 宋威龙 林妍柔,2019-06-21,1小时25分钟,中国 中国台湾,喜剧 爱情,5.9
白牦牛,,李加雅德,彭毛切卓 旺卓措 尕玛昂秀,2019-06-28,2小时3分钟,中国,剧情,5.9
潜行者,,吕冠南 谭广源,伍允龙 吴建豪 安志杰,2019-06-28,1小时30分钟,中国 中国香港,喜剧 动作 爱情,5.9
巅峰战士,,,,2019-06-07,1小时32分钟,中国,剧情,6.7
真相漩涡,,西蒙·凯瑟,皮尔斯·布鲁斯南 盖·皮尔斯 奥德娅·拉什,2019-06-21,1小时40分钟,美国,悬疑 犯罪 剧情,5.4
碟仙,,黄奕,黄奕 范逸臣,2019-06-21,1小时23分钟,中国,惊悚 恐怖 悬疑,5.9
监护风云,,泽维尔·勒格朗,蕾雅·德吕盖 丹尼斯·门诺切特 托马斯·乔里亚,2019-06-21,1小时33分钟,法国,剧情,7.3
绝杀慕尼黑,,安东·梅格迪契夫,弗拉基米尔·马什科夫 约翰·沙维奇 马拉特·巴沙罗夫,2019-06-13,2小时,俄罗斯,运动 剧情,8.0
白牙,,亚历山大·埃斯皮加雷斯,拉什达·琼斯 尼克·奥弗曼 保罗·吉亚玛提,2019-06-14,1小时25分钟,美国 法国,动画 冒险,6.7
美丽战争,,陈勋奇,谭耀文 孟广美 马国明,2019-06-14,1小时53分钟,中国,动作 励志,5.0
追龙Ⅱ,,王晶 关智耀,梁家辉 古天乐 林家栋,2019-06-06,1小时43分钟,中国 中国香港,动作 犯罪 剧情,8.0
废柴老爸,,冯超,王迅 何雄飞 黄灿灿,2019-06-15,2小时13分钟,中国,喜剧 家庭,6.7
街舞青春,,李小杰,黄鸿升 李妍心 纪源,2019-06-07,1小时30分钟,中国,青春 励志,6.7
